,Type,Maker,Model,Years,Sales,Debut
0,HEV,Acura,ILX,1999,0,2012
1,HEV,Acura,ILX,2000,0,2012
2,HEV,Acura,ILX,2001,0,2012
3,HEV,Acura,ILX,2002,0,2012
4,HEV,Acura,ILX,2003,0,2012
5,HEV,Acura,ILX,2004,0,2012
6,HEV,Acura,ILX,2005,0,2012
7,HEV,Acura,ILX,2006,0,2012
8,HEV,Acura,ILX,2007,0,2012
9,HEV,Acura,ILX,2008,0,2012
10,HEV,Acura,ILX,2009,0,2012
11,HEV,Acura,ILX,2010,0,2012
12,HEV,Acura,ILX,2011,0,2012
13,HEV,Acura,ILX,2012,972,2012
14,HEV,Acura,ILX,2013,1461,2012
15,HEV,Acura,ILX,2014,379,2012
16,HEV,Acura,ILX,2015,22,2012
17,HEV,Acura,ILX,2016,1,2012
18,HEV,Acura,ILX,2017,0,2012
19,HEV,Acura,MDX,1999,0,2017
20,HEV,Acura,MDX,2000,0,2017
21,HEV,Acura,MDX,2001,0,2017
22,HEV,Acura,MDX,2002,0,2017
23,HEV,Acura,MDX,2003,0,2017
24,HEV,Acura,MDX,2004,0,2017
25,HEV,Acura,MDX,2005,0,2017
26,HEV,Acura,MDX,2006,0,2017
27,HEV,Acura,MDX,2007,0,2017
28,HEV,Acura,MDX,2008,0,2017
29,HEV,Acura,MDX,2009,0,2017
30,HEV,Acura,MDX,2010,0,2017
31,HEV,Acura,MDX,2011,0,2017
32,HEV,Acura,MDX,2012,0,2017
33,HEV,Acura,MDX,2013,0,2017
34,HEV,Acura,MDX,2014,0,2017
35,HEV,Acura,MDX,2015,0,2017
36,HEV,Acura,MDX,2016,0,2017
37,HEV,Acura,MDX,2017,1807,2017
38,HEV,Acura,NSX,1999,0,2017
39,HEV,Acura,NSX,2000,0,2017
40,HEV,Acura,NSX,2001,0,2017
41,HEV,Acura,NSX,2002,0,2017
42,HEV,Acura,NSX,2003,0,2017
43,HEV,Acura,NSX,2004,0,2017
44,HEV,Acura,NSX,2005,0,2017
45,HEV,Acura,NSX,2006,0,2017
46,HEV,Acura,NSX,2007,0,2017
47,HEV,Acura,NSX,2008,0,2017
48,HEV,Acura,NSX,2009,0,2017
49,HEV,Acura,NSX,2010,0,2017
50,HEV,Acura,NSX,2011,0,2017
51,HEV,Acura,NSX,2012,0,2017
