,Type,Maker,Model,Years,Sales
0,HEV,Acura,ILX,1999,0.0
1,HEV,Acura,ILX,2000,0.0
2,HEV,Acura,ILX,2001,0.0
3,HEV,Acura,ILX,2002,0.0
4,HEV,Acura,ILX,2003,0.0
5,HEV,Acura,ILX,2004,0.0
6,HEV,Acura,ILX,2005,0.0
7,HEV,Acura,ILX,2006,0.0
8,HEV,Acura,ILX,2007,0.0
9,HEV,Acura,ILX,2008,0.0
10,HEV,Acura,ILX,2009,0.0
11,HEV,Acura,ILX,2010,0.0
12,HEV,Acura,ILX,2011,0.0
13,HEV,Acura,ILX,2012,972.0
14,HEV,Acura,ILX,2013,1461.0
15,HEV,Acura,ILX,2014,379.0
16,HEV,Acura,ILX,2015,22.0
17,HEV,Acura,ILX,2016,1.0
18,HEV,Acura,ILX,2017,0.0
19,HEV,Acura,MDX,1999,0.0
20,HEV,Acura,MDX,2000,0.0
21,HEV,Acura,MDX,2001,0.0
22,HEV,Acura,MDX,2002,0.0
23,HEV,Acura,MDX,2003,0.0
24,HEV,Acura,MDX,2004,0.0
25,HEV,Acura,MDX,2005,0.0
26,HEV,Acura,MDX,2006,0.0
27,HEV,Acura,MDX,2007,0.0
28,HEV,Acura,MDX,2008,0.0
29,HEV,Acura,MDX,2009,0.0
30,HEV,Acura,MDX,2010,0.0
31,HEV,Acura,MDX,2011,0.0
32,HEV,Acura,MDX,2012,0.0
33,HEV,Acura,MDX,2013,0.0
34,HEV,Acura,MDX,2014,0.0
35,HEV,Acura,MDX,2015,0.0
36,HEV,Acura,MDX,2016,0.0
37,HEV,Acura,MDX,2017,1807.0
38,HEV,Acura,NSX,1999,0.0
39,HEV,Acura,NSX,2000,0.0
40,HEV,Acura,NSX,2001,0.0
41,HEV,Acura,NSX,2002,0.0
42,HEV,Acura,NSX,2003,0.0
43,HEV,Acura,NSX,2004,0.0
44,HEV,Acura,NSX,2005,0.0
45,HEV,Acura,NSX,2006,0.0
46,HEV,Acura,NSX,2007,0.0
47,HEV,Acura,NSX,2008,0.0
48,HEV,Acura,NSX,2009,0.0
49,HEV,Acura,NSX,2010,0.0
50,HEV,Acura,NSX,2011,0.0
51,HEV,Acura,NSX,2012,0.0
52,HEV,Acura,NSX,2013,0.0
53,HEV,Acura,NSX,2014,0.0
54,HEV,Acura,NSX,2015,0.0
55,HEV,Acura,NSX,2016,267.0
56,HEV,Acura,NSX,2017,581.0
57,HEV,Acura,RLX,1999,0.0
58,HEV,Acura,RLX,2000,0.0
59,HEV,Acura,RLX,2001,0.0
60,HEV,Acura,RLX,2002,0.0
61,HEV,Acura,RLX,2003,0.0
62,HEV,Acura,RLX,2004,0.0
63,HEV,Acura,RLX,2005,0.0
64,HEV,Acura,RLX,2006,0.0
65,HEV,Acura,RLX,2007,0.0
66,HEV,Acura,RLX,2008,0.0
67,HEV,Acura,RLX,2009,0.0
68,HEV,Acura,RLX,2010,0.0
69,HEV,Acura,RLX,2011,0.0
70,HEV,Acura,RLX,2012,0.0
71,HEV,Acura,RLX,2013,0.0
72,HEV,Acura,RLX,2014,133.0
73,HEV,Acura,RLX,2015,250.0
74,HEV,Acura,RLX,2016,199.0
75,HEV,Acura,RLX,2017,292.0
76,HEV,Audi,Q5 Hybrid,1999,0.0
77,HEV,Audi,Q5 Hybrid,2000,0.0
78,HEV,Audi,Q5 Hybrid,2001,0.0
79,HEV,Audi,Q5 Hybrid,2002,0.0
80,HEV,Audi,Q5 Hybrid,2003,0.0
81,HEV,Audi,Q5 Hybrid,2004,0.0
82,HEV,Audi,Q5 Hybrid,2005,0.0
83,HEV,Audi,Q5 Hybrid,2006,0.0
84,HEV,Audi,Q5 Hybrid,2007,0.0
85,HEV,Audi,Q5 Hybrid,2008,0.0
86,HEV,Audi,Q5 Hybrid,2009,0.0
87,HEV,Audi,Q5 Hybrid,2010,0.0
88,HEV,Audi,Q5 Hybrid,2011,0.0
89,HEV,Audi,Q5 Hybrid,2012,270.0
90,HEV,Audi,Q5 Hybrid,2013,854.0
91,HEV,Audi,Q5 Hybrid,2014,283.0
92,HEV,Audi,Q5 Hybrid,2015,97.0
93,HEV,Audi,Q5 Hybrid,2016,18.0
94,HEV,Audi,Q5 Hybrid,2017,0.0
95,HEV,BMW,ActiveHybrid 3 (335ih),1999,0.0
96,HEV,BMW,ActiveHybrid 3 (335ih),2000,0.0
97,HEV,BMW,ActiveHybrid 3 (335ih),2001,0.0
98,HEV,BMW,ActiveHybrid 3 (335ih),2002,0.0
99,HEV,BMW,ActiveHybrid 3 (335ih),2003,0.0
100,HEV,BMW,ActiveHybrid 3 (335ih),2004,0.0
101,HEV,BMW,ActiveHybrid 3 (335ih),2005,0.0
102,HEV,BMW,ActiveHybrid 3 (335ih),2006,0.0
103,HEV,BMW,ActiveHybrid 3 (335ih),2007,0.0
104,HEV,BMW,ActiveHybrid 3 (335ih),2008,0.0
105,HEV,BMW,ActiveHybrid 3 (335ih),2009,0.0
106,HEV,BMW,ActiveHybrid 3 (335ih),2010,0.0
107,HEV,BMW,ActiveHybrid 3 (335ih),2011,0.0
108,HEV,BMW,ActiveHybrid 3 (335ih),2012,402.0
109,HEV,BMW,ActiveHybrid 3 (335ih),2013,905.0
110,HEV,BMW,ActiveHybrid 3 (335ih),2014,151.0
111,HEV,BMW,ActiveHybrid 3 (335ih),2015,30.0
112,HEV,BMW,ActiveHybrid 3 (335ih),2016,0.0
113,HEV,BMW,ActiveHybrid 3 (335ih),2017,0.0
114,HEV,BMW,ActiveHybrid 5 (535ih),1999,0.0
115,HEV,BMW,ActiveHybrid 5 (535ih),2000,0.0
116,HEV,BMW,ActiveHybrid 5 (535ih),2001,0.0
117,HEV,BMW,ActiveHybrid 5 (535ih),2002,0.0
118,HEV,BMW,ActiveHybrid 5 (535ih),2003,0.0
119,HEV,BMW,ActiveHybrid 5 (535ih),2004,0.0
120,HEV,BMW,ActiveHybrid 5 (535ih),2005,0.0
121,HEV,BMW,ActiveHybrid 5 (535ih),2006,0.0
122,HEV,BMW,ActiveHybrid 5 (535ih),2007,0.0
123,HEV,BMW,ActiveHybrid 5 (535ih),2008,0.0
124,HEV,BMW,ActiveHybrid 5 (535ih),2009,0.0
125,HEV,BMW,ActiveHybrid 5 (535ih),2010,0.0
126,HEV,BMW,ActiveHybrid 5 (535ih),2011,0.0
127,HEV,BMW,ActiveHybrid 5 (535ih),2012,403.0
128,HEV,BMW,ActiveHybrid 5 (535ih),2013,520.0
129,HEV,BMW,ActiveHybrid 5 (535ih),2014,112.0
130,HEV,BMW,ActiveHybrid 5 (535ih),2015,25.0
131,HEV,BMW,ActiveHybrid 5 (535ih),2016,18.0
132,HEV,BMW,ActiveHybrid 5 (535ih),2017,0.0
133,HEV,BMW,ActiveHybrid 7,1999,0.0
134,HEV,BMW,ActiveHybrid 7,2000,0.0
135,HEV,BMW,ActiveHybrid 7,2001,0.0
136,HEV,BMW,ActiveHybrid 7,2002,0.0
